Disease,Description,Essential_Features
Trance disorder,"Trance disorder is characterised by trance states in which there is a marked alteration in the individual’s state of consciousness or a loss of the individual’s customary sense of personal identity in which the individual experiences a narrowing of awareness of immediate surroundings or unusually narrow and selective focusing on environmental stimuli and restriction of movements, postures, and speech to repetition of a small repertoire that is experienced as being outside of one’s control. The trance state is not characterised by the experience of being replaced by an alternate identity. Trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days. The trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice. The symptoms do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The symptoms are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, exhaustion, or to hypnagogic or hypnopompic states, and are not due to a disease of the nervous system, head trauma, or a sleep-wake disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Occurrence of a trance state in which there is a marked alteration in the individual’s state of consciousness or a loss of the individual’s normal sense of personal identity, characterized by both of the following:
Narrowing of awareness of immediate surroundings or unusually narrow and selective focusing on specific environmental stimuli; and
Restriction of movements, postures, and speech to repetition of a small repertoire that is experienced as being outside of one’s control.
The trance state is not characterized by the experience of being replaced by an alternate identity.
Trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days.
The trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice.
The symptoms are not due to the effects of a substance or medication on the central nervous system (including withdrawal effects), exhaustion, or to hypnagogic or hypnopompic states, and are not due to a Disease of the Nervous System (e.g., complex partial seizures), head trauma, or a Sleep-Wake Disorder.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Possession trance disorder,"Possession trance disorder is characterised by trance states in which there is a marked alteration in the individual’s state of consciousness and the individual’s customary sense of personal identity is replaced by an external ‘possessing’ identity and in which the individual’s behaviours or movements are experienced as being controlled by the possessing agent. Possession trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days. The possession trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice. The symptoms do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The symptoms are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, exhaustion, or to hypnagogic or hypnopompic states, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Occurrence of a trance state in which there is a marked alteration in the individual’s state of consciousness and the individual’s normal sense of personal identity is replaced by an external ‘possessing’ identity. The trance state is characterized by behaviours or movements that are experienced as being controlled by the possessing agent.
Trance episodes are attributed to the influence of an external ‘possessing’ spirit, power, deity or other spiritual entity.
Trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days.
The possession trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice.
The symptoms are not due to the effects of a substance or medication on the central nervous system (including withdrawal effects), exhaustion, or to hypnagogic or hypnopompic states, and are not due to a Disease of the Nervous System (e.g., complex partial seizures) or a Sleep-Wake Disorder.
The symptoms result in significant distress or impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Dissociative identity disorder,"Dissociative identity disorder is characterised by disruption of identity in which there are two or more distinct personality states (dissociative identities) associated with marked discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment. At least two distinct personality states recurrently take executive control of the individual’s consciousness and functioning in interacting with others or with the environment, such as in the performance of specific aspects of daily life such as parenting, or work, or in response to specific situations (e.g., those that are perceived as threatening). Changes in personality state are accompanied by related alterations in sensation, perception, affect, cognition, memory, motor control, and behaviour. There are typically episodes of amnesia, which may be severe. The symptoms are not better explained by another mental, behavioural or neurodevelopmental disorder and are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Disruption of identity characterized by the presence of two or more distinct personality states (dissociative identities), involving marked discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment.
At least two distinct personality states recurrently take executive control of the individual’s consciousness and functioning in interacting with others or with the environment, such as in the performance of specific aspects of daily life (e.g., parenting, work), or in response to specific situations (e.g., those that are perceived as threatening).
Changes in personality state are accompanied by related alterations in sensation, perception, affect, cognition, memory, motor control, and behaviour. There are typically episodes of amnesia inconsistent with ordinary forgetting, which may be severe.
The symptoms are not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder).
The symptoms are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects (e.g., blackouts or chaotic behaviour during substance intoxication), and are not due to a Disease of the Nervous System (e.g., complex partial seizures) or to a Sleep-Wake disorder (e.g., symptoms occur during hypnagogic or hypnopompic states).
The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Partial dissociative identity disorder,"Partial dissociative identity disorder is characterised by disruption of identity in which there are two or more distinct personality states (dissociative identities) associated with marked discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment. One personality state is dominant and normally functions in daily life, but is intruded upon by one or more non-dominant personality states (dissociative intrusions). These intrusions may be cognitive, affective, perceptual, motor, or behavioural. They are experienced as interfering with the functioning of the dominant personality state and are typically aversive. The non-dominant personality states do not recurrently take executive control of the individual’s consciousness and functioning, but there may be occasional, limited and transient episodes in which a distinct personality state assumes executive control to engage in circumscribed behaviours, such as in response to extreme emotional states or during episodes of self-harm or the reenactment of traumatic memories. The symptoms are not better explained by another mental, behavioural or neurodevelopmental disorder and are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Disruption of identity characterized by the experience of two or more distinct personality states (dissociative identities), involving discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment.
One personality state is dominant and functions in daily life (e.g., parenting, work), but is intruded upon by one or more non-dominant personality states (dissociative intrusions). These intrusions may be cognitive (intruding thoughts), affective (intruding affects such as fear, anger, or shame), perceptual (e.g., intruding voices fleeting visual perceptions, sensations such as being touched), motor (e.g., involuntary movements of an arm), or behavioural (e.g., an action that lacks a sense of agency or ownership). These experiences are experienced as interfering with the functioning of the dominant personality state and are typically aversive.
The non-dominant personality states do not recurrently take executive control of the individual’s consciousness and functioning to the extent that they perform in specific aspects of daily life (e.g., parenting, work). However, there may be occasional, limited and transient episodes in which a distinct personality state assumes executive control to engage in circumscribed behaviours (e.g., in response to extreme emotional states or during episodes of self-harm or the reenactment of traumatic memories).
The symptoms are not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder).
The symptoms are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects (e.g., blackouts or chaotic behaviour during substance intoxication), and are not due to a Disease of the Nervous System (e.g., complex partial seizures) or to a Sleep-Wake disorder (e.g., symptoms occur during hypnagogic or hypnopompic states).
The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Depersonalization-derealization disorder,"Depersonalization-derealization disorder is characterised by persistent or recurrent experiences of depersonalization, derealization, or both. Depersonalization is characterised by experiencing the self as strange or unreal, or feeling detached from, or as though one were an outside observer of, one’s thoughts, feelings, sensations, body, or actions. Derealization is characterised by experiencing other persons, objects, or the world as strange or unreal (e.g., dreamlike, distant, foggy, lifeless, colourless, or visually distorted) or feeling detached from one’s surroundings. During experiences of depersonalization or derealization, reality testing remains intact. The experiences of depersonalization or derealization do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The experiences of depersonalization or derealization are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or to head trauma. The symptoms result in significant distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.","Persistent or recurrent experiences of either or both depersonalization or derealization:
Depersonalization is characterized by experiencing the self as strange or unreal, or feeling detached from, or as though one were an outside observer of, one’s thoughts, feelings, sensations, body, or actions. Depersonalization may take the form of emotional and/or physical numbing, a sense of watching oneself from a distance or ‘being in a play’, or perceptual alterations (e.g., a distorted sense of time).
Derealization is characterized by experiencing other persons, objects, or the world as strange or unreal (e.g., dreamlike, distant, foggy, lifeless, colourless, or visually distorted) or feeling detached from one’s surroundings.
During experiences of depersonalization or derealization, reality testing remains intact. The experiences are not associated with delusions or beliefs that the individual is being controlled by external persons or forces.
The symptoms are not better accounted for by another mental disorder (e.g., Post-Traumatic Stress Disorder, an Anxiety or Fear-Related Disorder, another Dissociative Disorder, Personality Disorder).
The symptoms are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a Disease of the Nervous System (e.g., temporal lobe epilepsy), head trauma, or another medical condition.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Secondary dissociative syndrome,"A syndrome characterised by the presence of prominent dissociative symptoms (e.g., depersonalization, derealization) that is judged to be the direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., as part of an acute stress reaction in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the dissociative symptoms are sufficiently severe to warrant specific clinical attention.","The presence of prominent dissociative symptoms (e.g., depersonalization, derealization, dissociative amnesia, a marked alteration in the individual’s normal sense of personal identity).
The symptoms are judged to be the direct pathophysiological consequence of a medical condition, based on evidence from the history, physical examination, or laboratory findings. This judgment depends on establishing that:
The medical condition is known to be capable of producing the observed symptoms;
The course of dissociative symptoms (e.g., onset, remission, response of the dissociative symptoms to treatment of the etiological medical condition) is consistent with causation by the medical condition; and
The symptoms are not better accounted for by Delirium, Dementia, another mental disorder (e.g., Dissociative Disorders, Disorders Specifically Associated with Stress, Schizophrenia or Other Primary Psychotic Disorders) or the effects of a medication or substance, including withdrawal effects.
The symptoms are sufficiently severe to be a specific focus of clinical attention."
Anorexia Nervosa,"Anorexia Nervosa is characterised by significantly low body weight for the individual’s height, age and developmental stage that is not due to another health condition or to the unavailability of food. A commonly used threshold is body mass index (BMI) less than 18.5 kg/m2 in adults and BMI-for-age under 5th percentile in children and adolescents. Rapid weight loss (e.g. more than 20% of total body weight within 6 months) may replace the low body weight guideline as long as other diagnostic requirements are met. Children and adolescents may exhibit failure to gain weight as expected based on the individual developmental trajectory rather than weight loss. Low body weight is accompanied by a persistent pattern of behaviours to prevent restoration of normal weight, which may include behaviours aimed at reducing energy intake (restricted eating), purging behaviours (e.g. self-induced vomiting, misuse of laxatives), and behaviours aimed at increasing energy expenditure (e.g. excessive exercise), typically associated with a fear of weight gain. Low body weight or shape is central to the person's self-evaluation or is inaccurately perceived to be normal or even excessive.","Significantly low body weight for the individual’s height, age, developmental stage, or weight history. A commonly used threshold is body mass index (BMI) less than 18.5 kg/m2 in adults and BMI-for-age under 5th percentile in children and adolescents. Rapid weight loss (e.g., more than 20% of total body weight within 6 months) may replace the low body weight essential feature as long as other diagnostic requirements are met. Children and adolescents may exhibit failure to gain weight as expected based on the individual developmental trajectory rather than weight loss.
Low body weight is not better accounted for by another medical condition or the unavailability of food.
A persistent pattern of restrictive eating or other behaviours aimed at establishing or maintaining abnormally low body weight, typically associated with extreme fear of weight gain. Behaviours may be aimed at reducing energy intake, by fasting, choosing low calorie food, excessively slow eating of small amounts of food, and hiding or spitting out food, as well as purging behaviours, such as self-induced vomiting and use of laxatives, diuretics, enemas, or omission of insulin doses in individuals with diabetes. Behaviours may also be aimed at increasing energy expenditure through excessive exercise, motor hyperactivity, deliberate exposure to cold, and use of medication that increases energy expenditure (e.g., stimulants, weight loss medication, herbal products for reducing weight, thyroid hormones).
Excessive preoccupation with body weight or shape. Low body weight is overvalued and central to the person's self-evaluation, or the person’s body weight or shape is inaccurately perceived to be normal or even excessive. Preoccupation with weight or shape, when not explicitly reported, may be manifested by behaviours such as repeatedly checking body weight using scales; repeatedly checking one’s body shape using tape measures or reflection in mirrors; constantly monitoring the calorie content of food or searching for information on how to lose weight; or by extreme avoidant behaviours, such as refusal to have mirrors at home, avoidance of tight-fitting clothes, or refusal to know one’s weight or purchase clothing with specified sizing."
Bulimia Nervosa,"Bulimia Nervosa is characterised by frequent, recurrent episodes of binge eating (e.g. once a week or more over a period of at least one month). A binge eating episode is a distinct period of time during which the individual experiences a subjective loss of control over eating, eating notably more or differently than usual, and feels unable to stop eating or limit the type or amount of food eaten. Binge eating is accompanied by repeated inappropriate compensatory behaviours aimed at preventing weight gain (e.g. self-induced vomiting, misuse of laxatives or enemas, strenuous exercise). The individual is preoccupied with body shape or weight, which strongly influences self-evaluation. There is marked distress about the pattern of binge eating and inappropriate compensatory behaviour or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. The individual does not meet the diagnostic requirements of Anorexia Nervosa.","Frequent, recurrent episodes of binge eating (e.g., once a week or more over a period of at least 1 month). Binge eating is defined as a discrete period of time (e.g., 2 hours) during which the individual experiences a loss of control over their eating behaviour and eats notably more or differently than usual. Loss of control over eating may be described by the individual as feeling like they cannot stop or limit the amount or type of food eaten; having difficulty stopping eating once they have started; or giving up even trying to control their eating because they know they will end up overeating.
Repeated inappropriate compensatory behaviours to prevent weight gain (e.g., once a week or more over a period of at least 1 month). The most common compensatory behaviour is self-induced vomiting, which typically occurs within an hour of binge eating. Other inappropriate compensatory behaviours include fasting or using diuretics to induce weight loss, using laxatives or enemas to reduce the absorption of food, omission of insulin doses in individuals with diabetes, and strenuous exercise to greatly increase energy expenditure.
Excessive preoccupation with body weight or shape. Preoccupation with weight or shape, when not explicitly reported, may be manifested by behaviours such as repeatedly checking body weight using scales; repeatedly checking one’s body shape using tape measures or reflection in mirrors; constantly monitoring the calorie content of food or searching for information on how to lose weight; or by extreme avoidant behaviours, such as refusal to have mirrors at home, avoidance of tight-fitting clothes, or refusal to know one’s weight or purchase clothing with specified sizing.
There is marked distress about the pattern of binge eating and inappropriate compensatory behaviour or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
The symptoms do not meet the diagnostic requirements for Anorexia Nervosa."
Binge eating disorder,"Binge eating disorder is characterised by frequent, recurrent episodes of binge eating (e.g. once a week or more over a period of several months). A binge eating episode is a distinct period of time during which the individual experiences a subjective loss of control over eating, eating notably more or differently than usual, and feels unable to stop eating or limit the type or amount of food eaten. Binge eating is experienced as very distressing, and is often accompanied by negative emotions such as guilt or disgust. However, unlike in Bulimia Nervosa, binge eating episodes are not regularly followed by inappropriate compensatory behaviours aimed at preventing weight gain (e.g. self-induced vomiting, misuse of laxatives or enemas, strenuous exercise). There is marked distress about the pattern of binge eating or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Frequent, recurrent episodes of binge eating (e.g., once a week or more over a period of 3 months). Binge eating is defined as a discrete period of time (e.g., 2 hours) during which the individual experiences a loss of control over their eating behaviour and eats notably more or differently than usual. Loss of control over eating may be described by the individual as feeling like they cannot stop or limit the amount or type of food eaten; having difficulty stopping eating once they have started; or giving up even trying to control their eating because they know they will end up overeating.
The binge eating episodes are not regularly accompanied by inappropriate compensatory behaviours aimed at preventing weight gain.
The symptoms and behaviours are not better accounted for by another medical condition (e.g., Prader-Willi Syndrome) or mental disorder (e.g., a Depressive Disorder) and are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects.
There is marked distress about the pattern of binge eating or significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Avoidant-restrictive food intake disorder,"Avoidant-restrictive food intake disorder (ARFID) is characterised by avoidance or restriction of food intake that results in: 1) the intake of an insufficient quantity or variety of food to meet adequate energy or nutritional requirements that has resulted in significant weight loss, clinically significant nutritional deficiencies, dependence on oral nutritional supplements or tube feeding, or has otherwise negatively affected the physical health of the individual; or 2) significant impairment in personal, family, social, educational, occupational or other important areas of functioning (e.g.,due to avoidance or distress related to participating in social experiences involving eating). The pattern of eating behaviour is not motivated by preoccupation with body weight or shape. Restricted food intake and its effects on weight, other aspects of health, or functioning is not due to unavailability of food, not a manifestation of another medical condition (e.g. food allergies, hyperthyroidism) or mental disorder, and are not due to the effect of a substance or medication on the central nervous system including withdrawal effects.","Avoidance or restriction of food intake that results in either or both of the following:
The intake of an insufficient quantity or variety of food to meet adequate energy or nutritional requirements that has resulted in significant weight loss, clinically significant nutritional deficiencies, dependence on oral nutritional supplements or tube feeding, or has otherwise negatively affected the physical health of the individual.
Significant impairment in personal, family, social, educational, occupational or other important areas of functioning (e.g., due to avoidance or distress related to participating in social experiences involving eating).
The pattern of eating behaviour is not motivated by preoccupation with body weight or shape.
Restricted food intake and consequent weight loss (or failure to gain weight), or other impact on physical health or related functional impairment, are not due to unavailability of food; are not a manifestation of another medical condition (e.g., food allergies, hyperthyroidism) or mental disorder; and are not due to the effects of a substance or medication, including withdrawal effects."
Pica,"Pica is characterised by the regular consumption of non-nutritive substances, such as non-food objects and materials (e.g., clay, soil, chalk, plaster, plastic, metal and paper) or raw food ingredients (e.g., large quantities of salt or corn flour) that is persistent or severe enough to require clinical attention in an individual who has reached a developmental age at which they would be expected to distinguish between edible and non-edible substances (approximately 2 years). That is, the behaviour causes damage to health, impairment in functioning, or significant risk due to the frequency, amount or nature of the substances or objects ingested.","Regular consumption of non-nutritive substances, such as non-food objects and materials (e.g., clay, soil, chalk, plaster, plastic, metal and paper), or raw food ingredients (e.g., large quantities of salt or corn flour).
The ingestion of non-nutritive substances is persistent or severe enough to require clinical attention. That is, the behaviour causes damage or significant risk to health or impairment in functioning due to the frequency, amount or nature of the substances or objects ingested.
Based on age and level of intellectual functioning, the individual would be expected to distinguish between edible and non-edible substances. In typical development, this occurs at approximately 2 years of age.
The symptoms or behaviours are not a manifestation of another medical condition (e.g., nutritional deficiency)."
Rumination-regurgitation disorder,"Rumination-regurgitation disorder is characterised by the intentional and repeated bringing up of previously swallowed food back to the mouth (i.e., regurgitation), which may be re-chewed and re-swallowed (i.e. rumination), or may be deliberately spat out (but not as in vomiting). The regurgitation behaviour is frequent (at least several times per week) and sustained over a period of at least several weeks. The regurgitation behaviour is not fully accounted for by another medical condition that directly causes regurgitation (e.g., oesophageal strictures or neuromuscular disorders affecting oesophageal functioning) or causes nausea or vomiting (e.g. pyloric stenosis). Rumination-regurgitation disorder should only be diagnosed in individuals who have reached a developmental age of at least 2 years.","The intentional and repeated bringing up of previously swallowed food back to the mouth (i.e., regurgitation), which may be re-chewed and re-swallowed (i.e., rumination), or may be deliberately spat out (but not as in vomiting).
The regurgitation behaviour is frequent (at least several times per week) and sustained over a period of at least several weeks.
The diagnosis should only be assigned to individuals who have reached a developmental age of at least 2 years.
The regurgitation behaviour is not a manifestation of another medical condition that directly causes regurgitation (e.g., esophageal strictures or neuromuscular disorders affecting esophageal functioning) or causes nausea or vomiting (e.g., pyloric stenosis)."
Enuresis,"Enuresis is the repeated voiding of urine into clothes or bed, which may occur during the day or at night, in an individual who has reached a developmental age when urinary continence is ordinarily expected (5 years). The urinary incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bladder control. In most cases, the behaviour is involuntary but in some cases it appears intentional. Enuresis should not be diagnosed if unintentional voiding of urine is due to a health condition that interferes with continence (e.g., diseases of the nervous system or musculoskeletal disorders) or by congenital or acquired abnormalities of the urinary tract.","Repeated and persistent voiding of urine into bed or clothes (e.g., several times per week over several months), which may occur during the day or at night.
The individual has reached a developmental age when urinary continence is ordinarily expected (approximately equivalent to a chronological age of 5 years).
The symptoms are not better accounted for by the physiological effects of a substance or medication or by another medical condition (e.g., a Disease of the Nervous System, a Disease of the Musculoskeletal System or Connective Tissue, or congenital or acquired abnormalities of the urinary tract)."
Encopresis,"Encopresis is the repeated passage of faeces in inappropriate places. Encopresis should be diagnosed if inappropriate passage of faeces occurs repeatedly (e.g., at least once per month over a period of several months) in an individual who has reached the developmental age when faecal continence is ordinarily expected (4 years). The faecal incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bowel control. Encopresis should not be diagnosed if faecal soiling is fully attributable to another health condition (e.g., aganglionic megacolon, spina bifida, dementia), congenital or acquired abnormalities of the bowel, gastrointestinal infection, or excessive use of laxatives.","Repeated and persistent passage of faeces in inappropriate places (e.g., at least once per month over a period of several months).
The individual who has reached the developmental age when faecal continence is ordinarily expected (approximately equivalent to a chronological age of 4 years).
Faecal soiling is not better accounted for by the physiological effects of a substance (e.g., excessive use of laxatives) or another medical condition (e.g., aganglionic megacolon, spina bifida, anal stenosis, chronic diarrhoea, congenital or acquired abnormalities of the bowel, or gastrointestinal infection)."
Bodily distress disorder,"Bodily distress disorder is characterised by the presence of bodily symptoms that are distressing to the individual and excessive attention directed toward the symptoms, which may be manifest by repeated contact with health care providers. If another health condition is causing or contributing to the symptoms, the degree of attention is clearly excessive in relation to its nature and progression. Excessive attention is not alleviated by appropriate clinical examination and investigations and appropriate reassurance. Bodily symptoms are persistent, being present on most days for at least several months. Typically, bodily distress disorder involves multiple bodily symptoms that may vary over time. Occasionally there is a single symptom—usually pain or fatigue—that is associated with the other features of the disorder. The symptoms and associated distress and preoccupation have at least some impact on the individual’s functioning (e.g. strain in relationships, less effective academic or occupational functioning, abandonment of specific leisure activities).","The presence of bodily symptoms that are distressing to the individual. Typically, this involves multiple bodily symptoms that may vary over time. Occasionally the focus is limited to a single symptom, usually pain or fatigue.
Excessive attention is directed toward the symptoms, which may manifest in:
Persistent preoccupation with the severity of the symptoms or their negative consequences. In individuals who have an established medical condition that may be causing or contributing to the symptoms, the degree of attention related to the symptoms is clearly excessive in relation to the nature and severity of the medical condition.
Repeated contacts with health care providers related to the bodily symptoms that are substantially in excess of what would be considered medically necessary.
Excessive attention to the bodily symptoms persists despite appropriate clinical examination and investigations or appropriate reassurance by health care providers.
Bodily symptoms are persistent; that is, some symptoms are present (though not necessarily the same symptoms) on most days during a period of at least several months (e.g., 3 months or more).
The bodily symptoms and related distress and preoccupation result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
The symptoms or the associated distress and preoccupation are not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder, a Mood Disorder, or an Anxiety or Fear-Related Disorder)."
Body integrity dysphoria,"Body integrity dysphoria is characterised by an intense and persistent desire to become physically disabled in a significant way (e.g. major limb amputee, paraplegic, blind), with onset by early adolescence accompanied by persistent discomfort, or intense feelings of inappropriateness concerning current non-disabled body configuration. The desire to become physically disabled results in harmful consequences, as manifested by either the preoccupation with the desire (including time spent pretending to be disabled) significantly interfering with productivity, with leisure activities, or with social functioning (e.g. person is unwilling to have a close relationships because it would make it difficult to pretend) or by attempts to actually become disabled have resulted in the person putting his or her health or life in significant jeopardy. The disturbance is not better accounted for by another mental, behavioural or neurodevelopmental disorder, by a Disease of the Nervous System or by another medical condition, or by Malingering.","An intense and persistent desire to become physically disabled in a significant way (e.g., a major limb amputation, paraplegia, blindness) accompanied by persistent discomfort or intense negative feelings about one’s current body configuration or functioning.
The desire to be disabled results in harmful consequences, manifested by either or both of the following:
Attempts to actually become disabled through self-injury have resulted in the person putting their health or life in significant jeopardy.
Preoccupation with the desire to be disabled results in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning (e.g., avoidance of close relationships, interference with work productivity).
Onset of the persistent desire to be disabled occurs by early adolescence.
The disturbance is not better accounted for by another mental disorder (e.g., Schizophrenia or Other Primary Psychotic Disorder, in which, for example, a delusional conviction that the limb belongs to another person may be present, Factitious Disorder) or by Malingering.
The symptoms or behaviours are not better accounted for by Gender Incongruence, by a Disease of the Nervous System, or by another medical condition."
Disorders due to substance use,"Disorders due to substance use include disorders that result from a single occasion or repeated use of substances that have psychoactive properties, including certain medications. Disorders related to fourteen classes or groups of psychoactive substances are included. Typically, initial use of these substances produces pleasant or appealing psychoactive effects that are rewarding and reinforcing with repeated use. With continued use, many of the included substances have the capacity to produce dependence. They also have the potential to cause numerous forms of harm, both to mental and physical health. Disorders due to harmful non-medical use of non-psychoactive substances are also included in this grouping.","Disorders Due to Substance Use include disorders that result from a single occasion or repeated use of substances that have psychoactive properties, including certain medications. Disorders related to fourteen classes or groups of psychoactive substances that have important clinical and public health consequences are included, and categories are also available for other specified substances.

Typically, initial use of these substances produces pleasant or appealing psychoactive effects that are rewarding and reinforcing with repeated use. With continued use, many of the included substances have the capacity to produce dependence. They also have the potential to cause numerous forms of harm, both to mental and physical health. Disorders due to harmful non-medical use of non-psychoactive substances (e.g., laxatives, growth hormone, erythropoietin, and non-steroidal anti-inflammatory drugs) are also included in this grouping"
Disorders due to addictive behaviours,"Disorders due to addictive behaviours are recognizable and clinically significant syndromes associated with distress or interference with personal functions that develop as a result of repetitive rewarding behaviours other than the use of dependence-producing substances. Disorders due to addictive behaviours include gambling disorder and gaming disorder, which may involve both online and offline behaviour.","The presentation is characterized by symptoms that share primary clinical features with other Disorders Due to Addictive Behaviours, including a persistent pattern of repetitive behaviour in which the individual exhibits impaired control over the behaviour (e.g., onset, frequency, intensity, duration, termination, context); increasing priority given to the behaviour to the extent that it takes precedence over other life interests and daily activities; and continuation or escalation of the behaviour despite negative consequences (e.g., family conflict, poor scholastic performance, negative impact on health). Note: Impaired control over substance use or sexual behaviour is not included in this category.
The pattern of repetitive behaviour may be continuous or episodic and recurrent but is manifested over an extended period of time (e.g., 12 months).
The symptoms are not better accounted for by another Mental, Behavioural, or Neurodevelopmental Disorder (e.g., Autism Spectrum Disorder, an Obsessive-Compulsive or Related Disorder, a Feeding or Eating Disorder, an Impulse Control Disorder), are not a manifestation of another medical condition, and are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Pyromania,"Pyromania is characterised by a recurrent failure to control strong impulses to set fires, resulting in multiple acts of, or attempts at, setting fire to property or other objects, in the absence of an apparent motive (e.g., monetary gain, revenge, sabotage, political statement, attracting attention or recognition). There is an increasing sense of tension or affective arousal prior to instances of fire setting, persistent fascination or preoccupation with fire and related stimuli (e.g., watching fires, building fires, fascination with firefighting equipment), and a sense of pleasure, excitement, relief or gratification during, and immediately after the act of setting the fire, witnessing its effects, or participating in its aftermath. The behaviour is not better explained by intellectual impairment, another mental and behavioural disorder, or substance intoxication.","A recurrent failure to control strong impulses to set fires, resulting in multiple acts of, or attempts at, setting fire to property or other objects.
Lack of an apparent motive for the acts of, or attempts at, fire setting (e.g., monetary gain, revenge, sabotage, political statement, attracting recognition).
Persistent fascination or preoccupation with fire and related stimuli (e.g., watching fires, building fires, fascination with firefighting equipment).
The individual experiences increased tension or affective arousal prior to instances of, or attempts at, fire setting.
The individual experiences pleasure, excitement, relief or gratification during, and immediately following the act of setting the fire, witnessing its effects, or participating in its aftermath.
Acts of, or attempts at, fire setting are not better accounted for by a Disorder of Intellectual Development, another mental disorder (e.g., a Manic Episode), or Substance Intoxication."
